goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  23468717 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/found-10 	      10	  26380250 ns/op	    3640 B/op	      25 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1290404 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1266946 ns/op	    4456 B/op	      24 allocs/op
BenchmarkShortestPath/N=100000/E=5/powerlaw/nopath-10         	      10	   1293400 ns/op	    4456 B/op	      24 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     57783 ns/op	    3779 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     69279 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/uniform-10                      	      10	     47808 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     41738 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     67129 ns/op	    3777 B/op	      10 allocs/op
BenchmarkNeighbors/N=1000/E=5/powerlaw-10                     	      10	     17412 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    141992 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    141808 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/uniform-10                     	      10	    142042 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    135179 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    142746 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=10000/E=5/powerlaw-10                    	      10	    142542 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1298762 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1466658 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/uniform-10                    	      10	   1310908 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1265096 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1312908 ns/op	    3776 B/op	      10 allocs/op
BenchmarkNeighbors/N=100000/E=5/powerlaw-10                   	      10	   1286192 ns/op	    3776 B/op	      10 allocs/op
PASS
ok  	github.com/agentdisk/agent-disk/internal/service	29.907s
